k [N/m],c [N·s/m],RMS [m/s^2],T_max,Cumple_RMS,Cumple_T
19000,4000,0.02971033727264901,1.1786103269372654,True,True
19000,4200,0.028978870741369445,1.164720516036085,True,True
19000,4400,0.028297344983205037,1.1523101332194512,True,True
19000,4600,0.02766034839696632,1.141337756651821,True,True
19000,4800,0.027063229525237206,1.1314088344824127,True,True
19000,5000,0.02650198650324947,1.1223307579120507,True,True
20000,1000,0.06306191002869656,1.7579239988402509,True,False
20000,1200,0.05753608001034408,1.6916495190319436,True,False
20000,1400,0.05323892146383741,1.6276961986696865,True,False
20000,1600,0.04977343297301131,1.5677852144025857,True,False
20000,1800,0.046901539389344535,1.5126746355567875,True,False
20000,2000,0.044470682411695286,1.4628155639257128,True,False
20000,2200,0.042378300756349484,1.4181750477987927,True,False
20000,2400,0.040551927441625106,1.3783320620018606,True,False
20000,2600,0.03893938885364931,1.343015485499359,True,False
20000,2800,0.037501742166932715,1.3117492911271271,True,False
20000,3000,0.036209585310363404,1.2842003418079684,True,False
20000,3200,0.03504002647272795,1.2597815847495852,True,False
20000,3400,0.03397342265457442,1.2379353304262115,True,False
20000,3600,0.03299768973687452,1.2183648917438543,True,False
20000,3800,0.03210231352095179,1.2010532894569708,True,False
20000,4000,0.03127360310285676,1.1856048343881673,True,True
20000,4200,0.03050379988730364,1.1716255380205967,True,True
20000,4400,0.02978648243384013,1.1590137040438064,True,True
20000,4600,0.02911600578077308,1.1478222916847018,True,True
20000,4800,0.028487488460201937,1.1376475757380233,True,True
20000,5000,0.027896728694399825,1.1283706621400005,True,True
21000,1000,0.06621477769533571,1.7149371341987432,True,False
21000,1200,0.0604138324333506,1.659086376636156,True,False
21000,1400,0.05590078137405586,1.6041916102690268,True,False
21000,1600,0.05226193595949841,1.5516159666841058,True,False
21000,1800,0.04924643148919257,1.5024960124892217,True,False
21000,2000,0.04669403194928303,1.4573487092781185,True,False
21000,2200,0.04449706834113546,1.4161613082734024,True,False
21000,2400,0.0425794718697724,1.37898969109268,True,False
21000,2600,0.0408864165134653,1.3455307750521897,True,False
21000,2800,0.039377015186228735,1.3156458850523984,True,False
21000,3000,0.038020205650307434,1.288716721001198,True,False
21000,3200,0.03679257446503203,1.2650894367816463,True,False
21000,3400,0.035672710536459255,1.2436964710309553,True,False
21000,3600,0.03464739623932964,1.2244745204680425,True,False
21000,3800,0.033706266204956925,1.2072926139117863,True,False
21000,4000,0.03283670071292943,1.1917564305248318,True,True
21000,4200,0.032028651405566794,1.1777586482169984,True,True
21000,4400,0.03127557628359199,1.1651532378048342,True,True
21000,4600,0.03057163413999761,1.1537567910504423,True,True
21000,4800,0.02991173032202947,1.1433759143767728,True,True
21000,5000,0.02929145026780096,1.1339375910355296,True,True
22000,1000,0.06936765815049031,1.6748736760152692,True,False
22000,1200,0.0632903688141842,1.627660340113406,True,False
22000,1400,0.05856258317664118,1.5804926548575078,True,False
22000,1600,0.05475044075075772,1.534590379529631,True,False
22000,1800,0.05159131464397377,1.4908988559342822,True,False
22000,2000,0.04891739675753759,1.4500851175220404,True,False
22000,2200,0.04661564822146517,1.4123358875166105,True,False
22000,2400,0.044606985294143246,1.3777753910693111,True,False
22000,2600,0.04283340778319381,1.3463382711007572,True,False
22000,2800,0.04125224746269353,1.317893066338413,True,False
22000,3000,0.03983088805424033,1.292239793618635,True,False
22000,3200,0.03854488524962327,1.269116542942866,True,False
22000,3400,0.037372142856378444,1.2484016398629956,True,False
22000,3600,0.036297612586894575,1.2296262174680126,True,False
22000,3800,0.03531009778348814,1.2125948289090964,True,False
22000,4000,0.03439955618750875,1.1970751065678884,True,True
22000,4200,0.0335533940681776,1.1832175663045115,True,True
22000,4400,0.03276461258395207,1.1705143166427205,True,True
22000,4600,0.03202722517348501,1.158941942749379,True,True
22000,4800,0.03133594036569043,1.1485914073123815,True,True
22000,5000,0.03068615436683908,1.1390160190483298,True,True
23000,1000,0.07252049930707319,1.6379118011916667,True,False
23000,1200,0.06616691638072668,1.5980271147907252,True,False
23000,1400,0.06122444650886728,1.557521750504083,True,False
23000,1600,0.0572389562321986,1.5172756134504566,True,False
23000,1800,0.05393618876150278,1.4784746097235575,True,False
23000,2000,0.05114074373863021,1.441595623768961,True,False
23000,2200,0.04873442628170806,1.4071771831416908,True,False
23000,2400,0.04663446765059481,1.375059133893664,True,False
23000,2600,0.0447803644173998,1.3456598566179243,True,False
23000,2800,0.04312745137910243,1.318746745326611,True,False
23000,3000,0.04164158364002477,1.2942724005465152,True,False
23000,3200,0.04029648949800826,1.2720749920864172,True,False
23000,3400,0.039071505533692215,1.2518875168234709,True,False
23000,3600,0.0379479774347266,1.2336909304009454,True,False
23000,3800,0.03691459403729979,1.2169843168458385,True,False
23000,4000,0.035962102204027055,1.2016506773733673,True,False
23000,4200,0.03507799439041522,1.1878434400496825,True,True
23000,4400,0.034253578177261816,1.1751984820504382,True,True
23000,4600,0.03348277579636765,1.163829315331624,True,True
23000,4800,0.032760125267961404,1.1532761484685965,True,True
23000,5000,0.03208083924817934,1.1436286927520973,True,True
24000,1000,0.07567334724106702,1.6037093579992778,True,False
24000,1200,0.06904347263587886,1.5701138785764324,True,False
24000,1400,0.06388631936868916,1.5351274290792434,True,False
24000,1600,0.05972747108237602,1.4998830159199823,True,False
24000,1800,0.05628105296071829,1.4653278117205348,True,False
24000,2000,0.05336407810187435,1.4322786212075775,True,False
24000,2200,0.050853196990834175,1.4007963527458658,True,False
24000,2400,0.04866192291641025,1.3711791161919675,True,False
24000,2600,0.04672729060562339,1.3437511132393287,True,False
24000,2800,0.04500261557423467,1.3184381455450922,True,False
24000,3000,0.043452257981631714,1.2951659278000531,True,False
24000,3200,0.04204864027047611,1.2738518886623147,True,False
24000,3400,0.040770727615865435,1.2544565078117158,True,False
24000,3600,0.03959852047159467,1.2367710770732503,True,False
24000,3800,0.03851979076924935,1.220536433067547,True,False
24000,4000,0.03752443526267729,1.2054859332067094,True,False
24000,4200,0.0366023910773476,1.1918671782890278,True,True
24000,4400,0.035742449200531407,1.179408157526182,True,True
24000,4600,0.03493827406851629,1.1679732427184415,True,True
24000,4800,0.03418427667272899,1.157474464139262,True,True
24000,5000,0.03347549977770947,1.1478391469313889,True,True
25000,1000,0.07882629594149805,1.5728156161054367,True,False
25000,1200,0.0719200250634178,1.5439927116527585,True,False
25000,1400,0.06654809987223974,1.5136806439627382,True,False
25000,1600,0.0622159891353057,1.4827516098212672,True,False
25000,1800,0.058625915696210944,1.452058705436891,True,False
25000,2000,0.055587398197034746,1.4222081289847597,True,False
25000,2200,0.05297181871833099,1.3935577156698782,True,False
25000,2400,0.050689354203043435,1.366384425463961,True,False
25000,2600,0.048674193200768316,1.3408555191737777,True,False
25000,2800,0.046877747918420545,1.317102021313406,True,False
25000,3000,0.0452629032619739,1.2950858179192608,True,False
25000,3200,0.04380084177057735,1.2748514922743575,True,False
25000,3400,0.04246975837860531,1.2561996032613318,True,False
25000,3600,0.04124915623236801,1.2391290917464586,True,False
25000,3800,0.040125158302497674,1.2232777153553267,True,False
25000,4000,0.039087091875615834,1.2086362654224299,True,False
25000,4200,0.03812652371099713,1.195195582407793,True,True
25000,4400,0.0372311990434999,1.1829384827793026,True,True
25000,4600,0.036393709963291485,1.1715951124701574,True,True
25000,4800,0.0356083909836298,1.1611599263993826,True,True
25000,5000,0.03487013345213217,1.1515846693701204,True,True
